Method	k	dataset	nF	run	trainTime	testTime	MacroF1	microF1
KRI	5	reuters21578	8000	2	1812.838448	2523.132307	0.5920499884	0.8512420566
RI	5	reuters21578	9000	2	5.453859091	0.1281449795	0.5635555143	0.8501466276
KRI	5	reuters21578	9000	2	1759.813119	2398.45992	0.582694969	0.8534445563
RI	5	reuters21578	15000	2	5.555243969	0.1438601017	0.5613150931	0.853036081
KRI	5	reuters21578	15000	2	1329.13867	1671.026144	0.5797951764	0.8611791841
RI	5	reuters21578	2500	3	5.151921988	0.1160259247	0.5506873483	0.835495283
KRI	5	reuters21578	2500	3	1679.875767	2642.579892	0.5766194561	0.8249496982
RI	5	reuters21578	6000	3	5.460571051	0.1633999348	0.5515617998	0.8433770443
KRI	5	reuters21578	6000	3	1878.081965	2739.743315	0.586983523	0.8499137435
RI	5	reuters21578	7000	3	5.44800806	0.1373510361	0.5624420454	0.8496539538
KRI	5	reuters21578	7000	3	1857.030022	2670.744255	0.5897106064	0.8532295271
RI	5	reuters21578	8000	3	5.455125093	0.1398038864	0.5612593654	0.8466960352
KRI	5	reuters21578	8000	3	1794.504574	2525.665648	0.5854523759	0.8538649075
RI	5	reuters21578	9000	3	5.458262205	0.1289007664	0.556260923	0.8497866706
KRI	5	reuters21578	9000	3	1760.608069	2403.105691	0.574596139	0.8533525595
RI	5	reuters21578	15000	3	5.553226948	0.1441040039	0.5571137662	0.8519061584
KRI	5	reuters21578	15000	3	1327.32419	1663.809783	0.5752487254	0.8597402597
RI	5	reuters21578	2500	4	3.252450943	0.1482319832	0.5585534885	0.8372230428
KRI	5	reuters21578	2500	4	1677.726626	2642.548331	0.5983080389	0.8307160352
RI	5	reuters21578	6000	4	5.462119818	0.1253151894	0.5565652283	0.8474326909
KRI	5	reuters21578	6000	4	1868.273788	2747.3361	0.5862793274	0.8536271283
RI	5	reuters21578	7000	4	5.455141068	0.1697099209	0.5539107547	0.8453030526
KRI	5	reuters21578	7000	4	1858.653964	2629.231016	0.5894393887	0.8496110631
RI	5	reuters21578	8000	4	3.451954842	0.1424050331	0.5634047086	0.8499042569
KRI	5	reuters21578	8000	4	1813.992691	2522.229047	0.6014974516	0.8503028555
RI	5	reuters21578	9000	4	5.56262207	0.1751360893	0.5572412046	0.8490898415
KRI	5	reuters21578	9000	4	1762.903769	2391.375392	0.5855568502	0.8524448291
RI	5	reuters21578	15000	4	5.648989916	0.142398119	0.5568181504	0.8525406355
KRI	5	reuters21578	15000	4	1315.649699	1657.482817	0.5818381893	0.8590797635
RI	5	20newsgroups	2500	0	1.30393815	0.05469489098	0.5368218532	0.5541887402
KRI	5	20newsgroups	2500	0	372.616879	1175.737391	0.5017732995	0.5103689151
RI	5	20newsgroups	6000	0	1.4009552	0.06220889091	0.5660842901	0.5866307761
KRI	5	20newsgroups	6000	0	403.6391518	1190.60382	0.5868386407	0.6006020666
RI	5	20newsgroups	7000	0	1.413594961	0.06598591805	0.5780861179	0.5964349376
KRI	5	20newsgroups	7000	0	390.733283	1139.751498	0.5951710808	0.6080418437
RI	5	20newsgroups	8000	0	1.509747982	0.07658720016	0.5748100636	0.5953355884
KRI	5	20newsgroups	8000	0	376.0916779	1076.522954	0.602671734	0.6174164259
RI	5	20newsgroups	9000	0	1.525513172	0.0680270195	0.5784867009	0.5980506125
KRI	5	20newsgroups	9000	0	358.6859591	1005.553634	0.5996847897	0.6159377874
RI	5	20newsgroups	15000	0	1.523057938	0.08573698998	0.5824493791	0.6026052819
KRI	5	20newsgroups	15000	0	270.3561401	688.2754769	0.6055798185	0.6239875926
RI	5	20newsgroups	2500	1	1.34650898	0.05566906929	0.5362490733	0.5544447447
KRI	5	20newsgroups	2500	1	373.7286372	1175.932563	0.5066881825	0.5152262181
RI	5	20newsgroups	6000	1	1.418231964	0.06044602394	0.5699326072	0.5897642736
KRI	5	20newsgroups	6000	1	405.7598341	1198.04627	0.5865352402	0.6003746233
RI	5	20newsgroups	7000	1	1.425522089	0.0760140419	0.5755344589	0.5957408892
KRI	5	20newsgroups	7000	1	392.8467381	1136.880165	0.5975188786	0.6123853211
RI	5	20newsgroups	8000	1	1.421854973	0.0722360611	0.5800896549	0.5999464334
KRI	5	20newsgroups	8000	1	376.3073649	1075.537343	0.6053075124	0.6196415297
RI	5	20newsgroups	9000	1	1.536123037	0.0668990612	0.5820174483	0.6028810244
KRI	5	20newsgroups	9000	1	364.4853179	1009.41445	0.601840554	0.618872344
RI	5	20newsgroups	15000	1	1.538260221	0.07420396805	0.5835194489	0.603988604
KRI	5	20newsgroups	15000	1	267.910151	691.3987439	0.6097372661	0.6296740995
RI	5	20newsgroups	2500	2	1.348883152	0.05450892448	0.533258251	0.5523140645
KRI	5	20newsgroups	2500	2	378.4142509	1171.643757	0.5066251642	0.5146930463
RI	5	20newsgroups	6000	2	1.438405991	0.1013479233	0.5770866251	0.5967727556
KRI	5	20newsgroups	6000	2	404.9875841	1195.772627	0.5894402709	0.6026640676
RI	5	20newsgroups	7000	2	1.428698778	0.06315112114	0.5740502035	0.5927977839
KRI	5	20newsgroups	7000	2	387.437746	1139.056994	0.5929278787	0.6062443661
RI	5	20newsgroups	8000	2	1.436456919	0.06420612335	0.5806522455	0.6007658741
KRI	5	20newsgroups	8000	2	378.4452322	1073.638266	0.6017355359	0.617956144
RI	5	20newsgroups	9000	2	1.539090872	0.07765817642	0.5791017865	0.5998569641
KRI	5	20newsgroups	9000	2	363.194123	1009.43041	0.6062241672	0.6213916236
RI	5	20newsgroups	15000	2	1.543580055	0.08241891861	0.5859800142	0.6058172734
KRI	5	20newsgroups	15000	2	271.888284	693.70874	0.6050288008	0.6251403888
RI	5	20newsgroups	2500	3	1.345951796	0.05701613426	0.5403616191	0.5574479589
KRI	5	20newsgroups	2500	3	376.551697	1170.265315	0.5119268053	0.5206720234
RI	5	20newsgroups	6000	3	1.451411009	0.07186698914	0.5724067361	0.5908522423
KRI	5	20newsgroups	6000	3	400.788413	1199.679714	0.5841079531	0.5965564627
RI	5	20newsgroups	7000	3	1.442980051	0.08282089233	0.5724780449	0.5915819511
KRI	5	20newsgroups	7000	3	391.755558	1137.235484	0.5953142946	0.610180624
RI	5	20newsgroups	8000	3	1.450463057	0.07055997849	0.5775371097	0.5967669912
KRI	5	20newsgroups	8000	3	379.166693	1065.81178	0.5999207155	0.616058877
RI	5	20newsgroups	9000	3	1.540921927	0.06469392776	0.5794834264	0.6008046491
KRI	5	20newsgroups	9000	3	361.8153811	1009.294353	0.5990969636	0.6161980697
RI	5	20newsgroups	15000	3	1.544496059	0.07449293137	0.5851329163	0.605188344
KRI	5	20newsgroups	15000	3	274.086874	698.5585189	0.6069293417	0.62624699
RI	5	20newsgroups	2500	4	1.328252077	0.06038403511	0.5400895279	0.5572130415
KRI	5	20newsgroups	2500	4	373.5122521	1170.220296	0.5066348194	0.5146062505
RI	5	20newsgroups	6000	4	1.446126938	0.07019495964	0.5767765446	0.5972866833
KRI	5	20newsgroups	6000	4	404.29845	1199.469253	0.5854353133	0.6001444971
RI	5	20newsgroups	7000	4	1.439221144	0.06262087822	0.5740389424	0.5925594706
KRI	5	20newsgroups	7000	4	391.967042	1135.862101	0.5962775378	0.6101667212
RI	5	20newsgroups	8000	4	1.548071146	0.06748485565	0.575656947	0.5949185901
KRI	5	20newsgroups	8000	4	373.611099	1071.443206	0.5942821185	0.6098333333
RI	5	20newsgroups	9000	4	1.442030907	0.07962918282	0.5770749418	0.5970895456
KRI	5	20newsgroups	9000	4	364.6098371	1009.698721	0.6001786122	0.616498793
RI	5	20newsgroups	15000	4	1.644963026	0.08336091042	0.5883057975	0.6088809947
KRI	5	20newsgroups	15000	4	270.4178381	693.5376191	0.609689636	0.6272250408
RI	10	reuters21578	2500	0	9.174500942	0.2406890392	0.5520504628	0.8330122981
KRI	10	reuters21578	2500	0	2910.469722	4734.069	0.5736132216	0.8268317259
RI	10	reuters21578	6000	0	10.09116912	0.2715909481	0.5572580142	0.8465157307
KRI	10	reuters21578	6000	0	3581.954637	5714.177669	0.5927573619	0.8492006337
RI	10	reuters21578	7000	0	10.19125199	0.2806479931	0.5559924876	0.8463126844
KRI	10	reuters21578	7000	0	3714.891064	5833.983196	0.5869571799	0.8536480069
RI	10	reuters21578	8000	0	10.28028178	0.3143122196	0.5569861342	0.8504260946
KRI	10	reuters21578	8000	0	3799.9461	5953.819548	0.5804334357	0.8497978047
RI	10	reuters21578	9000	0	10.37924695	0.3040440083	0.5577851988	0.8485116416
KRI	10	reuters21578	9000	0	3913.496846	6075.336914	0.5813181547	0.8514822849
RI	10	reuters21578	15000	0	10.58274984	0.3416240215	0.561515487	0.8511013216
KRI	10	reuters21578	15000	0	4309.483248	6395.932412	0.5734811234	0.8561515108
RI	10	reuters21578	2500	1	9.176862955	0.255202055	0.5534297057	0.8385193924
KRI	10	reuters21578	2500	1	2896.28297	4724.580078	0.5835884176	0.831444556
RI	10	reuters21578	6000	1	10.0714879	0.2776269913	0.5592235675	0.8454733117
KRI	10	reuters21578	6000	1	3579.413912	5704.347938	0.579972368	0.8457984407
RI	10	reuters21578	7000	1	10.19043112	0.3076198101	0.5588254228	0.8460291734
KRI	10	reuters21578	7000	1	3699.726039	5851.062717	0.5833120934	0.8472863741
RI	10	reuters21578	8000	1	10.280406	0.2836179733	0.5558881444	0.8498017912
KRI	10	reuters21578	8000	1	3821.22508	5957.197997	0.5804007359	0.8510822511
RI	10	reuters21578	9000	1	10.382967	0.2889509201	0.5562365965	0.8480211858
KRI	10	reuters21578	9000	1	3899.346172	6067.233084	0.5890175633	0.8552537013
RI	10	reuters21578	15000	1	10.58311105	0.3320159912	0.561240501	0.8500146757
KRI	10	reuters21578	15000	1	4300.694366	6356.763099	0.5812200075	0.8600722022
RI	10	reuters21578	2500	2	9.17249012	0.2482008934	0.5341317982	0.8325684678
KRI	10	reuters21578	2500	2	2906.141907	4726.793917	0.5803815507	0.8281925627
RI	10	reuters21578	6000	2	10.08351398	0.2756688595	0.5600984593	0.8489759835
KRI	10	reuters21578	6000	2	3581.781934	5714.094274	0.5786420968	0.8458098947
RI	10	reuters21578	7000	2	10.38063097	0.3096408844	0.5594993277	0.8448047163
KRI	10	reuters21578	7000	2	3708.770471	5859.386469	0.5839920103	0.8515422312
RI	10	reuters21578	8000	2	10.26400399	0.2876780033	0.5585650972	0.8487690504
KRI	10	reuters21578	8000	2	3800.727801	5974.955888	0.5870448279	0.8550164591
RI	10	reuters21578	9000	2	10.27515221	0.2880139351	0.5618630802	0.8496251654
KRI	10	reuters21578	9000	2	3901.13252	6059.065503	0.5853657074	0.8570194384
RI	10	reuters21578	15000	2	10.58057404	0.3266088963	0.5576950583	0.8510138113
KRI	10	reuters21578	15000	2	4283.46919	6371.180883	0.5723302737	0.85981847
RI	10	reuters21578	2500	3	9.176197052	0.2408390045	0.5548704742	0.8374631268
KRI	10	reuters21578	2500	3	2901.689844	4724.693701	0.5801440427	0.8300531533
RI	10	reuters21578	6000	3	10.08039594	0.2819318771	0.5575017117	0.8466960352
KRI	10	reuters21578	6000	3	3575.950519	5815.822033	0.5823682187	0.8479724889
RI	10	reuters21578	7000	3	10.47794199	0.2914509773	0.5555860848	0.847826087
KRI	10	reuters21578	7000	3	4127.347642	6177.87926	0.5948705263	0.8486416559
RI	10	reuters21578	8000	3	10.68759513	0.3067069054	0.563177314	0.8499632623
KRI	10	reuters21578	8000	3	4181.962649	6368.998721	0.5870702585	0.8560311284
RI	10	reuters21578	9000	3	10.58295298	0.3271229267	0.5581296335	0.852041563
KRI	10	reuters21578	9000	3	4247.765635	6083.192864	0.5846039272	0.8550953132
RI	10	reuters21578	15000	3	10.57367301	0.3294229507	0.558392082	0.8500586854
KRI	10	reuters21578	15000	3	4304.762308	6375.479452	0.5734654526	0.8565656566
RI	10	reuters21578	2500	4	9.173970938	0.2382049561	0.5570949967	0.8420897719
KRI	10	reuters21578	2500	4	2897.923324	4724.636751	0.5891569163	0.8375358166
RI	10	reuters21578	6000	4	10.08031797	0.2693879604	0.556887472	0.84616517
KRI	10	reuters21578	6000	4	3569.079175	5708.943483	0.5837831265	0.8506708989
RI	10	reuters21578	7000	4	10.17055893	0.2796320915	0.5595833338	0.8480140701
KRI	10	reuters21578	7000	4	3704.843217	5849.152416	0.5818834612	0.8523932359
RI	10	reuters21578	8000	4	10.37073708	0.2819168568	0.5595719136	0.849419715
KRI	10	reuters21578	8000	4	3822.761948	5963.553501	0.5960293152	0.8542324247
RI	10	reuters21578	9000	4	10.37624288	0.3337309361	0.5581793821	0.8517702365
KRI	10	reuters21578	9000	4	3916.345205	6058.978013	0.5844181739	0.8529793681
RI	10	reuters21578	15000	4	10.57647586	0.3267970085	0.5587077608	0.8529844163
KRI	10	reuters21578	15000	4	4276.811863	6376.825608	0.5799892777	0.8609060646
RI	10	20newsgroups	2500	0	2.107838869	0.09323501587	0.5251294074	0.5447316103
KRI	10	20newsgroups	2500	0	616.7161021	1977.133229	0.5092374056	0.5182801989
RI	10	20newsgroups	6000	0	2.40963912	0.1102640629	0.5726249785	0.5917053986
KRI	10	20newsgroups	6000	0	805.4001329	2559.553109	0.5898248159	0.6029865282
RI	10	20newsgroups	7000	0	2.414565086	0.1129508018	0.5782168181	0.5972122945
KRI	10	20newsgroups	7000	0	838.3004529	2642.545178	0.5999744487	0.6144956249
RI	10	20newsgroups	8000	0	2.417773008	0.1177639961	0.582072723	0.6009289032
KRI	10	20newsgroups	8000	0	865.1602759	2707.462235	0.6027311504	0.6180307437
RI	10	20newsgroups	9000	0	2.626688957	0.1184809208	0.5783124505	0.5988932524
KRI	10	20newsgroups	9000	0	881.211446	2763.768976	0.6040264558	0.6209724663
RI	10	20newsgroups	15000	0	2.74229002	0.1558310986	0.5876645959	0.6076107299
KRI	10	20newsgroups	15000	0	936.301852	2794.034654	0.6057477301	0.624568668
RI	10	20newsgroups	2500	1	2.129310131	0.09541296959	0.5366311214	0.5562758869
KRI	10	20newsgroups	2500	1	616.255482	1974.844828	0.5091424001	0.5182215743
RI	10	20newsgroups	6000	1	2.339843988	0.1143059731	0.5752377843	0.5954334641
KRI	10	20newsgroups	6000	1	805.086947	2563.249678	0.5941531977	0.6077812829
RI	10	20newsgroups	7000	1	2.535747051	0.1464390755	0.5791295694	0.5997322624
KRI	10	20newsgroups	7000	1	834.703563	2648.733034	0.593952823	0.6097761685
RI	10	20newsgroups	8000	1	2.449364901	0.1183850765	0.5770260323	0.5969642857
KRI	10	20newsgroups	8000	1	858.5690749	2705.30916	0.605505609	0.6208039785
RI	10	20newsgroups	9000	1	2.546676159	0.1345639229	0.5797005461	0.6005539176
KRI	10	20newsgroups	9000	1	878.4758492	2759.633714	0.6067740655	0.6237673408
RI	10	20newsgroups	15000	1	2.653408051	0.1493170261	0.5860235339	0.6063300142
KRI	10	20newsgroups	15000	1	937.4423769	2788.947201	0.6055545439	0.6256046994
RI	10	20newsgroups	2500	2	2.140667915	0.125344038	0.5400501659	0.5579314664
KRI	10	20newsgroups	2500	2	613.9452739	1973.812779	0.5077802011	0.5165113086
RI	10	20newsgroups	6000	2	2.453335047	0.1088428497	0.5702364938	0.5893927198
KRI	10	20newsgroups	6000	2	802.1462002	2570.218038	0.5878012215	0.6013230074
RI	10	20newsgroups	7000	2	2.546310902	0.1722919941	0.5754974879	0.5954103045
KRI	10	20newsgroups	7000	2	832.9059298	2638.556485	0.5962078003	0.6114795709
RI	10	20newsgroups	8000	2	2.438224077	0.1188380718	0.5823830728	0.6027616927
KRI	10	20newsgroups	8000	2	854.4469471	2706.971901	0.604361087	0.6197791248
RI	10	20newsgroups	9000	2	2.554389	0.1258399487	0.5807403947	0.6015185351
KRI	10	20newsgroups	9000	2	889.962461	2756.30694	0.6056833188	0.6223262032
RI	10	20newsgroups	15000	2	2.748537064	0.1338350773	0.5852351805	0.6059257941
KRI	10	20newsgroups	15000	2	931.130883	2800.040824	0.6052194963	0.6242016226
RI	10	20newsgroups	2500	3	2.054220915	0.09399199486	0.5406675006	0.557852349
KRI	10	20newsgroups	2500	3	622.8918529	1978.641057	0.5101095169	0.5180661578
RI	10	20newsgroups	6000	3	2.358256102	0.1097021103	0.5769672889	0.5960784314
KRI	10	20newsgroups	6000	3	803.0270529	2557.390148	0.5937874652	0.6079223929
RI	10	20newsgroups	7000	3	2.444648981	0.1130180359	0.5793726999	0.6003204558
KRI	10	20newsgroups	7000	3	830.010278	2643.916868	0.5978969906	0.6130218119
RI	10	20newsgroups	8000	3	2.550559998	0.1464300156	0.5812477232	0.6015171798
KRI	10	20newsgroups	8000	3	866.8846359	2715.095285	0.6035599697	0.6185515873
RI	10	20newsgroups	9000	3	2.637779951	0.1183440685	0.5800554592	0.6002679768
KRI	10	20newsgroups	9000	3	880.4066029	2753.453951	0.6065933803	0.6231265176
RI	10	20newsgroups	15000	3	2.763268948	0.1333301067	0.5837993028	0.604022068
KRI	10	20newsgroups	15000	3	937.7378879	2792.109002	0.6058434836	0.6258209471
RI	10	20newsgroups	2500	4	2.155627012	0.1163618565	0.5358906864	0.5534241664
KRI	10	20newsgroups	2500	4	621.8692751	1976.998015	0.5121104603	0.5203596754
RI	10	20newsgroups	6000	4	2.567444801	0.1097691059	0.5629766416	0.5830861868
KRI	10	20newsgroups	6000	4	804.5959129	2560.713437	0.5827266493	0.5976115038
RI	10	20newsgroups	7000	4	2.550533056	0.1150588989	0.5779131132	0.5972456686
KRI	10	20newsgroups	7000	4	837.0450308	2644.572471	0.5962982503	0.6101750368
RI	10	20newsgroups	8000	4	2.455528975	0.1166100502	0.5799085182	0.6003568243
KRI	10	20newsgroups	8000	4	865.4768569	2699.571968	0.6050089187	0.6194513716
RI	10	20newsgroups	9000	4	2.564038038	0.1191749573	0.5817871608	0.6016245648
KRI	10	20newsgroups	9000	4	879.1011519	2753.291221	0.6042321012	0.6212973064
RI	10	20newsgroups	15000	4	2.650192022	0.1388111115	0.5880715401	0.6079075966
KRI	10	20newsgroups	15000	4	935.069618	2797.834846	0.6084504826	0.6286108476
KRIch	2	reuters21578	2500	0	44.81309891	1.277197123	0.5721542271	0.8268011527
KRIch	2	reuters21578	5000	0	82.19564795	2.324077845	0.5760424938	0.8458532349
KRIch	2	reuters21578	6000	0	96.02867293	2.724504232	0.5705145301	0.8462427746
KRIch	2	reuters21578	7000	0	109.7657211	3.132983923	0.5638512316	0.8497034573
KRIch	2	reuters21578	8000	0	122.8952351	3.484586954	0.5689675593	0.8498040923
KRIch	2	reuters21578	9000	0	133.9297869	3.8164711	0.5671077346	0.8502471649
KRIch	2	reuters21578	10000	0	138.833689	3.927902222	0.5569930711	0.8474181818
KRIch	2	reuters21578	15000	0	164.5638559	4.756664038	0.5718763707	0.8524638105
KRIch	2	reuters21578	2500	1	44.92364788	1.261268139	0.5859568959	0.8261746901
KRIch	2	reuters21578	5000	1	82.90906	2.342833996	0.5704592599	0.8422122224
KRIch	2	reuters21578	6000	1	97.23888993	2.772542953	0.5753336649	0.844044683
KRIch	2	reuters21578	7000	1	109.9592531	3.120668888	0.5804735789	0.8521563537
KRIch	2	reuters21578	8000	1	121.896153	3.46488905	0.5662471809	0.8467132054
KRIch	2	reuters21578	9000	1	134.1169591	3.790574789	0.5815259165	0.8539586047
KRIch	2	reuters21578	10000	1	137.3271751	3.895514965	0.5553387216	0.8519057317
KRIch	2	reuters21578	15000	1	165.263494	4.730295897	0.5714050667	0.8522346775
KRIch	2	reuters21578	2500	2	45.12706399	1.266360044	0.5732232794	0.833381295
KRIch	2	reuters21578	5000	2	82.90882301	2.328236103	0.5777572579	0.8468885673
KRIch	2	reuters21578	6000	2	97.34285808	2.764853001	0.5696725167	0.8475997687
KRIch	2	reuters21578	7000	2	110.2664471	3.14645505	0.5620465233	0.8480647025
KRIch	2	reuters21578	8000	2	121.7075579	3.454587936	0.5736029903	0.8485112564
KRIch	2	reuters21578	9000	2	133.6203208	3.793907166	0.5552190112	0.8487309645
KRIch	2	reuters21578	10000	2	138.13025	3.904848814	0.5621120791	0.8480699199
KRIch	2	reuters21578	15000	2	166.57898	4.793614149	0.5657445923	0.8484848485
KRIch	2	reuters21578	2500	3	45.02927589	1.247478008	0.5797778817	0.831827957
KRIch	2	reuters21578	5000	3	83.31020212	2.359404802	0.5787518163	0.8433839479
KRIch	2	reuters21578	6000	3	95.63893199	2.722741127	0.5730089859	0.8523170204
KRIch	2	reuters21578	7000	3	110.5668759	3.150793076	0.5797255277	0.8489500362
KRIch	2	reuters21578	8000	3	120.8952889	3.437252045	0.5627228748	0.8524590164
KRIch	2	reuters21578	9000	3	134.8217702	3.840438843	0.5686894802	0.849319038
KRIch	2	reuters21578	10000	3	139.0365222	3.94917202	0.5664962013	0.8539553753
KRIch	2	reuters21578	15000	3	167.0732138	4.78238821	0.5602858075	0.8533255882
KRIch	2	reuters21578	2500	4	45.0356288	1.275477171	0.5720148493	0.8336696454
KRIch	2	reuters21578	5000	4	83.00664401	2.35748601	0.5630095027	0.8452380952
KRIch	2	reuters21578	6000	4	96.34555507	2.732540846	0.5760258081	0.8465332173
KRIch	2	reuters21578	7000	4	109.4707689	3.112859011	0.564026016	0.8444185708
KRIch	2	reuters21578	8000	4	122.1040959	3.468639135	0.5678761876	0.8513963247
KRIch	2	reuters21578	9000	4	133.8257411	3.807208061	0.5661946885	0.8510946788
KRIch	2	reuters21578	10000	4	138.4363101	3.895147085	0.5826035959	0.8553166764
KRIch	2	reuters21578	15000	4	166.062443	4.779706001	0.5663318129	0.8534420026
KRIch	2	20newsgroups	2500	0	12.13116694	0.4796209335	0.5072825321	0.5137669296
KRIch	2	20newsgroups	5000	0	18.97570109	0.8730459213	0.5820791799	0.5949791479
KRIch	2	20newsgroups	6000	0	22.6875	1.031031847	0.5855205159	0.598963901
KRIch	2	20newsgroups	7000	0	23.95091295	1.14172411	0.5950178632	0.6114257162
KRIch	2	20newsgroups	8000	0	27.21633601	1.294434071	0.5951445913	0.6097869115
KRIch	2	20newsgroups	9000	0	27.98139787	1.347698927	0.5905708284	0.6062664516
KRIch	2	20newsgroups	10000	0	30.99697995	1.479046106	0.6004932439	0.6171525137
KRIch	2	20newsgroups	15000	0	37.14373899	1.79952693	0.5954683515	0.6140138408
KRIch	2	20newsgroups	2500	1	12.34967399	0.4803688526	0.5185923061	0.529258293
KRIch	2	20newsgroups	5000	1	19.18652511	0.8919110298	0.5767828921	0.5893570206
KRIch	2	20newsgroups	6000	1	22.49941206	1.025105	0.5892437762	0.6026490066
KRIch	2	20newsgroups	7000	1	24.3112309	1.154597044	0.587042971	0.6024257633
KRIch	2	20newsgroups	8000	1	28.02614617	1.307184935	0.59457094	0.6091268174
KRIch	2	20newsgroups	9000	1	28.18278503	1.343482018	0.5949407104	0.6110265517
KRIch	2	20newsgroups	10000	1	31.50775814	1.481694937	0.5968029928	0.613819415
KRIch	2	20newsgroups	15000	1	36.84389997	1.796581984	0.5924264665	0.6100933287
KRIch	2	20newsgroups	2500	2	12.05531502	0.4800050259	0.5182140425	0.5261989343
KRIch	2	20newsgroups	5000	2	18.79453397	0.880051136	0.5690289402	0.5829360513
KRIch	2	20newsgroups	6000	2	22.20039201	1.024288893	0.5856092911	0.5996217416
KRIch	2	20newsgroups	7000	2	24.42638707	1.14934206	0.5864611091	0.6021038571
KRIch	2	20newsgroups	8000	2	27.21718001	1.298968792	0.5919890999	0.6081388491
KRIch	2	20newsgroups	9000	2	28.10483694	1.34342289	0.5999834698	0.6154106117
KRIch	2	20newsgroups	10000	2	31.06005788	1.492027044	0.5974116467	0.6137331743
KRIch	2	20newsgroups	15000	2	37.47785997	1.806882143	0.5936046354	0.610971488
KRIch	2	20newsgroups	2500	3	12.08938098	0.4822530746	0.5105065877	0.5188686323
KRIch	2	20newsgroups	5000	3	19.23239589	0.8863451481	0.5669721225	0.5789344464
KRIch	2	20newsgroups	6000	3	21.9253459	1.038042068	0.5849143802	0.5980099502
KRIch	2	20newsgroups	7000	3	24.44186306	1.160590887	0.5936630233	0.6077403246
KRIch	2	20newsgroups	8000	3	27.15780711	1.29666996	0.586402952	0.6019021739
KRIch	2	20newsgroups	9000	3	28.22311187	1.354762077	0.5992549628	0.6149036837
KRIch	2	20newsgroups	10000	3	31.23576617	1.489712954	0.5995184406	0.6164904863
KRIch	2	20newsgroups	15000	3	37.48322678	1.807159185	0.6038133615	0.6196625344
KRIch	2	20newsgroups	2500	4	11.58384204	0.4798660278	0.5164205118	0.5251997312
KRIch	2	20newsgroups	5000	4	20.22467089	0.8849480152	0.571155375	0.5829202893
KRIch	2	20newsgroups	6000	4	22.13979006	1.027009964	0.5822624207	0.5961442579
KRIch	2	20newsgroups	7000	4	24.25163412	1.148760796	0.5932684943	0.6093357872
KRIch	2	20newsgroups	8000	4	27.75119901	1.30303812	0.5937047573	0.6086736842
KRIch	2	20newsgroups	9000	4	28.02722692	1.35337615	0.590127102	0.6071489362
KRIch	2	20newsgroups	10000	4	31.22921014	1.479741812	0.5989689825	0.6162849873
KRIch	2	20newsgroups	15000	4	37.27961898	1.806689024	0.5986136398	0.6168999482
KRIch	5	reuters21578	2500	0	46.47180581	1.31892705	0.5696491823	0.833716916
KRIch	5	reuters21578	5000	0	91.8743	2.596834183	0.5703883091	0.8479768786
KRIch	5	reuters21578	6000	0	110.3104119	3.127779961	0.5764427741	0.8506277962
KRIch	5	reuters21578	7000	0	128.9550741	3.631788015	0.5698919408	0.8461314718
KRIch	5	reuters21578	8000	0	146.6870339	4.159030914	0.5686210119	0.8491085665
KRIch	5	reuters21578	9000	0	164.518878	4.661272049	0.5715008528	0.854862119
KRIch	5	reuters21578	10000	0	182.3661489	5.142634153	0.574308489	0.8552383713
KRIch	5	reuters21578	15000	0	269.4600301	7.711937904	0.5600658307	0.8556881001
KRIch	5	reuters21578	2500	1	46.65482402	1.323055029	0.581531786	0.8312781082
KRIch	5	reuters21578	5000	1	91.85531807	2.591841936	0.5761497094	0.8478009259
KRIch	5	reuters21578	6000	1	110.1975689	3.123925924	0.5769319459	0.8500289519
KRIch	5	reuters21578	7000	1	128.85148	3.650090933	0.5784510968	0.8514021393
KRIch	5	reuters21578	8000	1	146.4819751	4.156702042	0.5719264575	0.8459976798
KRIch	5	reuters21578	9000	1	164.611212	4.648270845	0.5644934098	0.849382716
KRIch	5	reuters21578	10000	1	182.1541119	5.15040493	0.5675666229	0.8500580046
KRIch	5	reuters21578	15000	1	269.6423922	7.614618063	0.5735032917	0.8509957843
KRIch	5	reuters21578	2500	2	46.75525284	1.320965052	0.5858442012	0.8313793603
KRIch	5	reuters21578	5000	2	92.56152987	2.589971066	0.5789448971	0.8481872021
KRIch	5	reuters21578	6000	2	110.8029268	3.102863073	0.5741495421	0.8482310469
KRIch	5	reuters21578	7000	2	129.42643	3.641577005	0.575136777	0.8501449275
KRIch	5	reuters21578	8000	2	146.469878	4.144041061	0.5778077071	0.8529241459
KRIch	5	reuters21578	9000	2	164.7688661	4.774271011	0.5760379648	0.8507982583
KRIch	5	reuters21578	10000	2	181.951936	5.144547939	0.5677112884	0.8498690719
KRIch	5	reuters21578	15000	2	269.252948	7.637332916	0.5690884036	0.8566463944
KRIch	5	reuters21578	2500	3	46.66401696	1.312404871	0.573055145	0.8345055261
KRIch	5	reuters21578	5000	3	91.84984589	2.589467049	0.5791300159	0.8451761987
KRIch	5	reuters21578	6000	3	110.1899271	3.115474939	0.5870303705	0.8532718363
KRIch	5	reuters21578	7000	3	128.9460509	3.644114017	0.5608120533	0.8484061734
KRIch	5	reuters21578	8000	3	146.5735211	4.140682936	0.5678024834	0.8517286272
KRIch	5	reuters21578	9000	3	165.235467	4.662066936	0.5705531299	0.8539521392
KRIch	5	reuters21578	10000	3	182.251245	5.151080132	0.5650824481	0.8528050896
